session_id,year,event_name,category,flag,scope,messages,missing_session_time,lap_scoped,driver_scoped
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,Flag,CLEAR,Track,1,0,1,0
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,Flag,RED,Track,1,0,1,0
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,Flag,BLACK AND WHITE,Driver,1,0,1,1
2025-british-grand-prix-r,2025,British Grand Prix,Other,missing,missing,57,11,57,0
2025-british-grand-prix-r,2025,British Grand Prix,Flag,CLEAR,Sector,37,20,37,0
2025-british-grand-prix-r,2025,British Grand Prix,Flag,YELLOW,Sector,32,20,32,0
2025-british-grand-prix-r,2025,British Grand Prix,Flag,DOUBLE YELLOW,Sector,12,7,12,0
2025-british-grand-prix-r,2025,British Grand Prix,SafetyCar,missing,missing,8,0,8,0
2025-british-grand-prix-r,2025,British Grand Prix,Flag,CLEAR,Track,4,0,4,0
2025-british-grand-prix-r,2025,British Grand Prix,Drs,missing,missing,4,1,4,0
2025-british-grand-prix-r,2025,British Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-british-grand-prix-r,2025,British Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-british-grand-prix-r,2025,British Grand Prix,Flag,BLUE,Driver,1,0,1,1
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,Flag,BLUE,Driver,42,0,42,42
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,Other,missing,missing,35,3,35,0
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,Flag,CLEAR,Sector,7,0,7,0
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,Flag,YELLOW,Sector,4,0,4,0
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,Flag,DOUBLE YELLOW,Sector,2,0,2,0
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,Drs,missing,missing,2,1,2,0
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,Flag,CLEAR,Track,1,0,1,0
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,SafetyCar,missing,missing,1,0,1,0
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,Other,missing,missing,23,12,23,0
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,Flag,CLEAR,Sector,9,3,9,0
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,Flag,BLUE,Driver,8,0,8,8
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,Flag,DOUBLE YELLOW,Sector,7,3,7,0
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,Flag,YELLOW,Sector,4,1,4,0
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,Drs,missing,missing,2,1,2,0
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,Other,missing,missing,43,6,43,0
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,Flag,DOUBLE YELLOW,Sector,18,5,18,0
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,Flag,CLEAR,Sector,12,3,12,0
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,SafetyCar,missing,missing,8,0,8,0
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,Flag,YELLOW,Sector,7,3,7,0
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,Flag,BLUE,Driver,7,0,7,7
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,Drs,missing,missing,6,1,6,0
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,Flag,CLEAR,Track,4,0,4,0
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,Other,missing,missing,16,2,16,0
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,Flag,BLUE,Driver,5,0,5,5
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,Drs,missing,missing,4,1,4,0
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,Flag,CLEAR,Sector,4,0,4,0
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,SafetyCar,missing,missing,4,0,4,0
