event_round,event_name,primary_category,laps,race_laps,pct_of_race_laps
20,Mexico City Grand Prix,atypical_speed_profile,50,1263,3.95882818685669
20,Mexico City Grand Prix,clean,1146,1263,90.73634204275535
20,Mexico City Grand Prix,import_or_source_data_anomaly,9,1263,0.7125890736342043
20,Mexico City Grand Prix,pit_lane_or_safety_car_influenced,57,1263,4.513064133016627
20,Mexico City Grand Prix,timing_session_boundary_artifact,1,1263,0.0791765637371338
21,São Paulo Grand Prix,atypical_speed_profile,123,1251,9.832134292565947
21,São Paulo Grand Prix,clean,892,1251,71.30295763389289
21,São Paulo Grand Prix,import_or_source_data_anomaly,1,1251,0.07993605115907274
21,São Paulo Grand Prix,pit_lane_or_safety_car_influenced,231,1251,18.465227817745802
21,São Paulo Grand Prix,position_trace_discontinuity,2,1251,0.15987210231814547
21,São Paulo Grand Prix,timing_session_boundary_artifact,2,1251,0.15987210231814547
22,Las Vegas Grand Prix,atypical_speed_profile,71,886,8.01354401805869
22,Las Vegas Grand Prix,clean,667,886,75.2821670428894
22,Las Vegas Grand Prix,import_or_source_data_anomaly,9,886,1.0158013544018059
22,Las Vegas Grand Prix,pit_lane_or_safety_car_influenced,120,886,13.544018058690746
22,Las Vegas Grand Prix,timing_session_boundary_artifact,19,886,2.144469525959368
23,Qatar Grand Prix,atypical_speed_profile,59,1067,5.5295220243673855
23,Qatar Grand Prix,clean,795,1067,74.50796626054358
23,Qatar Grand Prix,import_or_source_data_anomaly,17,1067,1.5932521087160263
23,Qatar Grand Prix,pit_lane_or_safety_car_influenced,191,1067,17.90065604498594
23,Qatar Grand Prix,position_trace_discontinuity,2,1067,0.18744142455482662
23,Qatar Grand Prix,timing_session_boundary_artifact,3,1067,0.28116213683223995
24,Abu Dhabi Grand Prix,atypical_speed_profile,20,1156,1.7301038062283738
24,Abu Dhabi Grand Prix,clean,1044,1156,90.3114186851211
24,Abu Dhabi Grand Prix,import_or_source_data_anomaly,38,1156,3.2871972318339098
24,Abu Dhabi Grand Prix,pit_lane_or_safety_car_influenced,54,1156,4.671280276816609
