event_round,event_name,driver_code,lap_number,primary_category,secondary_reason_set,reason_count,product_recommendation,safe_for_replay,safe_for_lap_comparison,coverage_deficit_pct,p95_gap_excess_ms,path_ratio_excess_pct,speed_shape_excess_kmh,audit_priority
13,Belgian Grand Prix,BEA,1,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,126.02411810379573,132.02411810379573
12,British Grand Prix,HAD,18,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,43.61548566587726,0.0,131.61548566587726
15,Dutch Grand Prix,NOR,65,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,43.25489038102834,0.0,131.25489038102833
13,Belgian Grand Prix,OCO,1,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,121.70933736370932,127.70933736370932
12,British Grand Prix,BOR,4,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,37.67262610838893,0.0,125.67262610838893
13,Belgian Grand Prix,BOR,1,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,116.8215300630585,122.8215300630585
13,Belgian Grand Prix,LAW,1,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,113.76587903458122,119.76587903458122
4,Bahrain Grand Prix,RUS,47,position_trace_discontinuity,atypical_speed_profile + import_or_source_data_anomaly,3,exclude,False,False,0.0,0.0,69.87565564294509,43.87741580592798,119.75307144887307
10,Canadian Grand Prix,ALB,47,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,31.402863629080386,0.0,119.40286362908039
21,São Paulo Grand Prix,BOR,1,timing_session_boundary_artifact,incomplete_lap_window + implausible_channel_values + position_trace_discontinuity + import_or_source_data_anomaly,5,exclude,False,False,80.0,0.0,27.846257310702185,0.0,117.84625731070219
13,Belgian Grand Prix,HAD,1,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,110.10416456214139,116.10416456214139
5,Saudi Arabian Grand Prix,TSU,1,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,108.94347899692525,114.94347899692525
7,Emilia Romagna Grand Prix,BEA,32,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,108.08711949410548,114.08711949410548
6,Miami Grand Prix,RUS,1,position_trace_discontinuity,atypical_speed_profile + import_or_source_data_anomaly,3,exclude,False,False,0.0,0.0,75.44411886847489,27.502503472255714,108.9466223407306
6,Miami Grand Prix,BOR,31,timing_session_boundary_artifact,incomplete_lap_window + position_trace_discontinuity + import_or_source_data_anomaly,4,exclude,False,False,80.0,0.0,20.05526960150294,0.0,108.05526960150294
13,Belgian Grand Prix,TSU,1,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,102.03329629349184,108.03329629349184
16,Italian Grand Prix,STR,50,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,101.3627405336468,107.3627405336468
21,São Paulo Grand Prix,HAM,3,pit_lane_or_safety_car_influenced,atypical_speed_profile + import_or_source_data_anomaly,3,keep_with_context_label,True,False,0.0,0.0,0.0,101.12884524931243,107.12884524931243
