session_id,event_round,event_name,speed_bin_number,reference_laps,speed_q10_kmh,speed_median_kmh,speed_q90_kmh
2025-japanese-grand-prix-r,3,Japanese Grand Prix,19,988,97.61111111111111,101.27777777777777,104.84947368421052
2025-japanese-grand-prix-r,3,Japanese Grand Prix,20,988,219.68125,224.97222222222223,230.6479411764706
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,1,920,294.1578947368421,299.1345029239766,315.455
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,2,920,199.61714285714285,217.23611111111111,232.15684210526317
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,3,920,86.32777777777777,92.0,97.61964285714286
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,4,920,209.76045751633987,218.52272727272725,227.9422969187675
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,5,920,236.6625,248.19617224880383,258.6066666666667
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,6,920,129.55294117647057,135.33333333333334,141.26625386996903
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,7,920,194.21578947368423,201.95346320346323,208.81360294117647
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,8,920,179.05820433436534,187.9375,196.59191176470588
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,9,920,88.77499999999999,93.3,98.24553571428572
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,10,920,206.8,211.81652661064425,216.39117647058822
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,11,920,90.19904761904762,95.94117647058823,101.71029411764705
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,12,920,189.66315789473683,199.21052631578948,208.10666666666665
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,13,920,253.98095238095237,262.6111111111111,270.7583333333333
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,14,920,156.37443609022557,163.0,169.4021739130435
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,15,920,233.61,239.77124183006535,246.12828947368422
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,16,920,147.05263157894737,155.32456140350877,163.8888544891641
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,17,920,216.33333333333334,222.84166666666667,229.0
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,18,920,265.555,272.2111111111111,277.8544736842106
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,19,920,139.5,144.77777777777777,150.66666666666666
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,20,920,249.9467492260062,254.21637426900585,258.55555555555554
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,1,719,300.98823529411766,306.26666666666665,313.4496732026144
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,2,719,110.98823529411764,122.22222222222223,134.01052631578946
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,3,719,147.0,156.0,164.68333333333334
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,4,719,197.22222222222223,206.5,216.42414860681114
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,5,719,194.33555555555554,205.88235294117646,214.65555555555557
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,6,719,221.87272727272727,231.33333333333334,239.9578947368421
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,7,719,220.2059210526316,234.27777777777777,245.49411764705883
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,8,719,280.7751633986928,284.875,288.43888888888887
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,9,719,157.7047619047619,163.88888888888889,171.0793650793651
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,10,719,223.16784313725492,237.47058823529412,246.85555555555558
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,11,719,219.92894736842106,228.3684210526316,236.67333333333332
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,12,719,220.80882352941177,237.78947368421052,249.24705882352941
2025-saudi-arabian-grand-prix-r,5,Saudi Arabian Grand Prix,13,719,294.3936842105263,298.29411764705884,302.22222222222223
