session_id,event_round,event_name,driver_code,lap_number,bad_flag_flip_count,replay_safety_flip_count,lap_comparison_safety_flip_count,recommendation_flip_count,primary_category_flip_count,baseline_bad_lap_any_category,baseline_safe_for_replay,baseline_safe_for_lap_comparison,baseline_product_recommendation,baseline_primary_category,any_sensitivity_flip_count
2025-singapore-grand-prix-r,18,Singapore Grand Prix,GAS,1,0,1,0,1,1,True,False,False,exclude,position_trace_discontinuity,3
2025-united-states-grand-prix-r,19,United States Grand Prix,ANT,1,0,1,0,1,1,True,True,False,keep_with_context_label,atypical_speed_profile,3
2025-united-states-grand-prix-r,19,United States Grand Prix,HAM,1,0,1,0,1,1,True,False,False,exclude,position_trace_discontinuity,3
2025-united-states-grand-prix-r,19,United States Grand Prix,LEC,1,0,1,0,1,1,True,True,False,keep_with_context_label,atypical_speed_profile,3
2025-united-states-grand-prix-r,19,United States Grand Prix,NOR,1,0,1,0,1,1,True,True,False,keep_with_context_label,atypical_speed_profile,3
2025-united-states-grand-prix-r,19,United States Grand Prix,PIA,1,0,1,0,1,1,True,True,False,keep_with_context_label,atypical_speed_profile,3
2025-united-states-grand-prix-r,19,United States Grand Prix,RUS,1,0,1,0,1,1,True,True,False,keep_with_context_label,atypical_speed_profile,3
2025-united-states-grand-prix-r,19,United States Grand Prix,VER,1,0,1,0,1,1,True,False,False,exclude,position_trace_discontinuity,3
2025-mexico-city-grand-prix-r,20,Mexico City Grand Prix,HAM,1,0,1,0,1,1,True,True,False,keep_with_context_label,atypical_speed_profile,3
2025-mexico-city-grand-prix-r,20,Mexico City Grand Prix,NOR,1,0,1,0,1,1,True,True,False,keep_with_context_label,atypical_speed_profile,3
2025-mexico-city-grand-prix-r,20,Mexico City Grand Prix,RUS,1,0,1,0,1,1,True,True,False,keep_with_context_label,atypical_speed_profile,3
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,NOR,22,0,1,0,1,1,True,False,False,exclude,timing_session_boundary_artifact,3
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,PIA,22,0,1,0,1,1,True,False,False,exclude,timing_session_boundary_artifact,3
2025-las-vegas-grand-prix-r,22,Las Vegas Grand Prix,SAI,22,0,1,0,1,1,True,False,False,exclude,timing_session_boundary_artifact,3
2025-qatar-grand-prix-r,23,Qatar Grand Prix,NOR,1,0,1,0,1,1,True,True,False,keep_with_context_label,atypical_speed_profile,3
2025-qatar-grand-prix-r,23,Qatar Grand Prix,PIA,1,0,1,0,1,1,True,False,False,exclude,position_trace_discontinuity,3
2025-australian-grand-prix-r,1,Australian Grand Prix,PIA,49,0,0,0,0,1,True,True,False,keep_with_context_label,atypical_speed_profile,1
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,ALO,34,0,0,0,0,1,True,True,False,keep_with_context_label,atypical_speed_profile,1
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,BOR,34,0,0,0,0,1,True,True,False,keep_with_context_label,import_or_source_data_anomaly,1
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,HAD,34,0,0,0,0,1,True,True,False,keep_with_context_label,atypical_speed_profile,1
2025-bahrain-grand-prix-r,4,Bahrain Grand Prix,HUL,34,0,0,0,0,1,True,True,False,keep_with_context_label,import_or_source_data_anomaly,1
