lens,laps,pct_of_all_laps
data_integrity,3988,14.94248566825284
analytical_shape,3224,12.079883097905505
race_context,3199,11.986211547828693
replay_blocking_integrity,477,1.7872531754655478
manual_review,58,0.21731799617820077
