event_round,event_name,driver_code,total_laps,bad_laps,integrity_laps,context_laps,shape_laps,replay_unsafe_laps,lap_comparison_unsafe_laps,bad_pct,integrity_pct,context_pct,shape_pct,replay_unsafe_pct,lap_comparison_unsafe_pct
21,São Paulo Grand Prix,ALO,71,20,11,13,11,0,20,28.169014084507044,15.492957746478872,18.30985915492958,15.492957746478872,0.0,28.169014084507044
21,São Paulo Grand Prix,ANT,71,20,12,12,11,0,20,28.169014084507044,16.901408450704224,16.901408450704224,15.492957746478872,0.0,28.169014084507044
21,São Paulo Grand Prix,COL,71,20,11,13,11,0,20,28.169014084507044,15.492957746478872,18.30985915492958,15.492957746478872,0.0,28.169014084507044
21,São Paulo Grand Prix,VER,71,20,11,16,11,1,20,28.169014084507044,15.492957746478872,22.535211267605636,15.492957746478872,1.4084507042253522,28.169014084507044
23,Qatar Grand Prix,ALB,57,16,10,10,7,0,16,28.07017543859649,17.543859649122805,17.543859649122805,12.280701754385964,0.0,28.07017543859649
23,Qatar Grand Prix,ANT,57,16,9,11,7,0,16,28.07017543859649,15.789473684210526,19.298245614035086,12.280701754385964,0.0,28.07017543859649
23,Qatar Grand Prix,NOR,57,16,11,9,9,0,16,28.07017543859649,19.298245614035086,15.789473684210526,15.789473684210526,0.0,28.07017543859649
23,Qatar Grand Prix,PIA,57,16,10,10,9,1,16,28.07017543859649,17.543859649122805,17.543859649122805,15.789473684210526,1.7543859649122806,28.07017543859649
23,Qatar Grand Prix,RUS,57,16,10,10,7,0,16,28.07017543859649,17.543859649122805,17.543859649122805,12.280701754385964,0.0,28.07017543859649
17,Azerbaijan Grand Prix,ALO,51,14,7,8,4,3,14,27.450980392156865,13.725490196078432,15.686274509803921,7.8431372549019605,5.88235294117647,27.450980392156865
23,Qatar Grand Prix,HAD,55,15,9,11,7,1,15,27.27272727272727,16.363636363636363,20.0,12.727272727272727,1.8181818181818181,27.27272727272727
7,Emilia Romagna Grand Prix,GAS,63,17,16,5,15,0,17,26.984126984126984,25.396825396825395,7.936507936507936,23.809523809523807,0.0,26.984126984126984
21,São Paulo Grand Prix,BEA,71,19,11,12,11,0,19,26.76056338028169,15.492957746478872,16.901408450704224,15.492957746478872,0.0,26.76056338028169
21,São Paulo Grand Prix,HUL,71,19,9,12,9,0,19,26.76056338028169,12.676056338028168,16.901408450704224,12.676056338028168,0.0,26.76056338028169
21,São Paulo Grand Prix,PIA,71,19,11,12,11,0,19,26.76056338028169,15.492957746478872,16.901408450704224,15.492957746478872,0.0,26.76056338028169
