session_id,year,event_name,driver_code,segment_id,start_ms,end_ms,rows,start_lap,end_lap,car_gap_rows,car_sample_old_rows,location_gap_rows,location_sample_old_rows,other_unknown_rows,duration_ms,dominant_family
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,HUL,54,5145514,5147714,23,21,22,21,0,2,0,0,2300,car_gap_too_large
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,LAW,54,5145514,5147714,23,22,22,21,0,2,0,0,2300,car_gap_too_large
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,LEC,54,5145514,5147714,23,22,22,21,0,2,0,0,2300,car_gap_too_large
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,NOR,54,5145514,5147714,23,22,22,21,0,2,0,0,2300,car_gap_too_large
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,OCO,54,5145514,5147714,23,22,22,21,0,2,0,0,2300,car_gap_too_large
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,PIA,54,5145514,5147714,23,22,22,21,0,2,0,0,2300,car_gap_too_large
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,RUS,54,5145514,5147714,23,22,22,21,0,2,0,0,2300,car_gap_too_large
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,SAI,54,5145514,5147714,23,22,22,21,0,2,0,0,2300,car_gap_too_large
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,STR,54,5145514,5147714,23,21,21,21,0,2,0,0,2300,car_gap_too_large
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,TSU,54,5145514,5147714,23,22,22,21,0,2,0,0,2300,car_gap_too_large
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,VER,54,5145514,5147714,23,22,22,21,0,2,0,0,2300,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,ALO,122,7565645,7567645,21,53,53,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,ANT,122,7565645,7567645,21,54,54,21,0,0,0,0,2100,car_gap_too_large
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,BEA,122,7565645,7567645,21,53,53,21,0,0,0,0,2100,car_gap_too_large
