session_id,event_name,normalized_message,messages,first_session_time_ms,last_session_time_ms,taxonomy,example_message,span_ms
2025-united-states-grand-prix-r,United States Grand Prix,car # (col) time #:#.# deleted - track limits at turn # lap # #:#:#,3,786000.0,5780000.0,other,CAR 43 (COL) TIME 1:41.843 DELETED - TRACK LIMITS AT TURN 12 LAP 4 14:10:01,4994000.0
2025-british-grand-prix-r,British Grand Prix,track surface slippery in track sector #,3,286000.0,5287000.0,other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,5001000.0
2025-mexico-city-grand-prix-r,Mexico City Grand Prix,drs disabled in zone #,3,409000.0,5903000.0,drs,DRS DISABLED IN ZONE 2,5494000.0
2025-mexico-city-grand-prix-r,Mexico City Grand Prix,yellow in track sector #,3,408000.0,5902000.0,flags,YELLOW IN TRACK SECTOR 3,5494000.0
2025-abu-dhabi-grand-prix-r,Abu Dhabi Grand Prix,green light - pit exit open,2,208000.0,208000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-australian-grand-prix-r,Australian Grand Prix,green light - pit exit open,2,1103000.0,1103000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-austrian-grand-prix-r,Austrian Grand Prix,green light - pit exit open,2,1081000.0,1081000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-azerbaijan-grand-prix-r,Azerbaijan Grand Prix,green light - pit exit open,2,234000.0,234000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-bahrain-grand-prix-r,Bahrain Grand Prix,green light - pit exit open,2,229000.0,229000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-belgian-grand-prix-r,Belgian Grand Prix,awnings may be used,2,548000.0,548000.0,other,AWNINGS MAY BE USED,0.0
2025-belgian-grand-prix-r,Belgian Grand Prix,green light - pit exit open,2,4800000.0,4800000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-british-grand-prix-r,British Grand Prix,drs disabled,2,1403000.0,1403000.0,drs,DRS DISABLED,0.0
2025-british-grand-prix-r,British Grand Prix,green light - pit exit open,2,230000.0,230000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-british-grand-prix-r,British Grand Prix,low grip conditions,2,1414000.0,1414000.0,other,LOW GRIP CONDITIONS,0.0
2025-canadian-grand-prix-r,Canadian Grand Prix,green light - pit exit open,2,185000.0,185000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-chinese-grand-prix-r,Chinese Grand Prix,green light - pit exit open,2,219000.0,219000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-dutch-grand-prix-r,Dutch Grand Prix,green light - pit exit open,2,201000.0,201000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-emilia-romagna-grand-prix-r,Emilia Romagna Grand Prix,green light - pit exit open,2,213000.0,213000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-hungarian-grand-prix-r,Hungarian Grand Prix,green light - pit exit open,2,186000.0,186000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-italian-grand-prix-r,Italian Grand Prix,green light - pit exit open,2,215000.0,215000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-japanese-grand-prix-r,Japanese Grand Prix,green light - pit exit open,2,227000.0,227000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-las-vegas-grand-prix-r,Las Vegas Grand Prix,green light - pit exit open,2,249000.0,249000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-mexico-city-grand-prix-r,Mexico City Grand Prix,green light - pit exit open,2,196000.0,196000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-miami-grand-prix-r,Miami Grand Prix,green light - pit exit open,2,222000.0,222000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-monaco-grand-prix-r,Monaco Grand Prix,green light - pit exit open,2,189000.0,189000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-qatar-grand-prix-r,Qatar Grand Prix,green light - pit exit open,2,207000.0,207000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-saudi-arabian-grand-prix-r,Saudi Arabian Grand Prix,green light - pit exit open,2,235000.0,235000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-singapore-grand-prix-r,Singapore Grand Prix,green light - pit exit open,2,212000.0,212000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-spanish-grand-prix-r,Spanish Grand Prix,green light - pit exit open,2,198000.0,198000.0,pit_entry_exit,GREEN LIGHT - PIT EXIT OPEN,0.0
2025-s-o-paulo-grand-prix-r,São Paulo Grand Prix,drs disabled in zone #,2,787000.0,787000.0,drs,DRS DISABLED IN ZONE 1,0.0
