session_id,year,event_name,driver_code,aligned_rows,non_ok_rows,car_gap_rows,car_sample_old_rows,location_gap_rows,location_sample_old_rows,other_unknown_rows,car_related_rows,location_related_rows,non_ok_pct,longest_segment_ms,segments_over_2s,degraded_windows,severe_windows,windows_with_incident_context,max_window_non_ok_pct,desktop_replay_risk_score,desktop_guidance
2025-italian-grand-prix-r,2025,Italian Grand Prix,NOR,44235,841,530,98,189,24,0,628,575,1.9012094495309144,1400,0,62,1,13,37.142857142857146,37.81912351240938,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,LAW,50953,1385,655,115,526,89,0,770,622,2.7181912743116206,1500,0,111,1,46,30.76923076923077,35.9881497126311,diagnostics_only
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,ALO,55987,806,564,92,109,41,0,656,535,1.439619911765231,1400,0,70,1,56,28.000000000000004,28.65847964706093,diagnostics_only
2025-italian-grand-prix-r,2025,Italian Grand Prix,PIA,44256,841,530,98,189,24,0,628,575,1.9003073029645698,1400,0,62,1,13,23.214285714285715,26.67265778328685,diagnostics_only
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,STR,59193,1667,813,129,594,131,0,942,744,2.816211376345176,2000,1,123,3,79,12.0,24.364845505380707,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,ALO,59215,1667,813,129,594,131,0,942,744,2.8151650764164486,2000,1,123,3,79,12.0,24.360660305665796,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,TSU,59234,1667,813,129,594,131,0,942,744,2.814262079211264,2000,1,123,3,79,12.0,24.35704831684506,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,OCO,59239,1667,813,129,594,131,0,942,744,2.814024544641199,2000,1,123,3,79,12.0,24.3560981785648,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,COL,59243,1667,813,129,594,131,0,942,744,2.8138345458535183,2000,1,123,3,79,12.0,24.355338183414077,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,LAW,59266,1667,813,129,594,131,0,942,744,2.812742550534877,2000,1,123,3,79,12.0,24.350970202139507,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,SAI,59271,1667,813,129,594,131,0,942,744,2.812505272392907,2000,1,123,3,79,12.0,24.35002108957163,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,HUL,59293,1667,813,129,594,131,0,942,744,2.8114617239809085,2000,1,123,3,79,12.0,24.345846895923636,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,BOR,59312,1667,813,129,594,131,0,942,744,2.810561100620448,2000,1,123,3,79,12.0,24.342244402481793,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,GAS,59333,1667,813,129,594,131,0,942,744,2.8095663458783475,2000,1,123,3,79,12.0,24.33826538351339,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,PIA,59097,1656,802,129,594,131,0,931,744,2.802172699121783,2000,1,122,3,79,12.0,24.308690796487134,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,VER,59111,1656,802,129,594,131,0,931,744,2.801509025392905,2000,1,122,3,79,12.0,24.30603610157162,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,HAD,59130,1656,802,129,594,131,0,931,744,2.800608828006088,2000,1,122,3,79,12.0,24.302435312024354,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,RUS,59154,1656,802,129,594,131,0,931,744,2.7994725631402777,2000,1,122,3,79,12.0,24.29789025256111,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,ALB,59161,1656,802,129,594,131,0,931,744,2.7991413262115246,2000,1,122,3,79,12.0,24.296565304846098,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,ANT,59168,1656,802,129,594,131,0,931,744,2.7988101676581936,2000,1,122,3,79,12.0,24.295240670632776,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,BEA,59180,1656,802,129,594,131,0,931,744,2.7982426495437647,2000,1,122,3,79,12.0,24.29297059817506,show_replay_quality_overlay
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,NOR,53183,1439,714,121,482,122,0,835,612,2.705751837993344,2000,1,110,3,69,12.0,23.923007351973375,show_replay_quality_overlay
2025-british-grand-prix-r,2025,British Grand Prix,BOR,5590,190,54,15,115,6,0,69,121,3.3989266547406083,1200,0,14,1,18,10.333333333333334,22.3623732856291,diagnostics_only
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,LEC,40970,1138,572,91,386,89,0,663,481,2.7776421772028312,1700,0,84,3,45,12.0,22.210568708811326,show_replay_quality_overlay
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,ANT,879,39,24,0,12,3,0,24,15,4.436860068259386,1300,0,3,0,3,5.333333333333334,22.014106939704213,diagnostics_only
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,VER,879,39,24,0,12,3,0,24,15,4.436860068259386,1300,0,3,0,3,5.333333333333334,22.014106939704213,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,NOR,58355,1472,631,139,581,121,0,770,708,2.5224916459600717,2300,1,113,1,75,10.333333333333334,20.856633250506952,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,PIA,58422,1472,631,139,581,121,0,770,708,2.519598781281024,2300,1,113,1,75,10.333333333333334,20.845061791790762,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,HUL,58701,1476,631,142,581,122,0,773,709,2.514437573465529,2300,1,114,1,75,10.333333333333334,20.824416960528783,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,TSU,58671,1474,631,140,581,122,0,771,709,2.512314431320414,2300,1,113,1,75,10.333333333333334,20.81592439194832,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,HAM,58755,1476,631,142,581,122,0,773,709,2.512126627521062,2300,1,114,1,75,10.333333333333334,20.815173176750918,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,VER,58923,1476,631,142,581,122,0,773,709,2.5049641056972662,2300,1,114,1,75,10.333333333333334,20.786523089455734,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,GAS,58955,1476,631,142,581,122,0,773,709,2.503604444067509,2300,1,114,1,75,10.333333333333334,20.781084442936702,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,ALB,58997,1477,631,142,581,123,0,773,710,2.503517127989559,2300,1,114,1,75,10.333333333333334,20.7807351786249,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,STR,58959,1476,631,142,581,122,0,773,709,2.50343459013891,2300,1,114,1,75,10.333333333333334,20.780405027222308,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,ALO,59013,1477,631,142,581,123,0,773,710,2.5028383576500093,2300,1,114,1,75,10.333333333333334,20.778020097266705,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,RUS,59062,1477,631,142,581,123,0,773,710,2.500761911211947,2300,1,114,1,75,10.333333333333334,20.769714311514456,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,BEA,59076,1477,631,142,581,123,0,773,710,2.5001692734782313,2300,1,114,1,75,10.333333333333334,20.767343760579593,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,LEC,59201,1480,631,142,581,126,0,773,713,2.4999577709835985,2300,1,115,1,75,10.333333333333334,20.76649775060106,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,SAI,59120,1477,631,142,581,123,0,773,710,2.4983085250338295,2300,1,114,1,75,10.333333333333334,20.759900766801984,diagnostics_only
2025-british-grand-prix-r,2025,British Grand Prix,OCO,59128,1477,631,142,581,123,0,773,710,2.497970504667839,2300,1,114,1,75,10.333333333333334,20.758548685338024,diagnostics_only
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,HAM,18354,461,235,42,153,31,0,277,184,2.511714067778141,1400,0,35,1,20,12.0,20.146856271112565,diagnostics_only
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,DOO,57923,860,475,135,205,45,0,610,615,1.4847297273967164,1900,0,77,1,44,16.666666666666664,19.772252242920196,diagnostics_only
