session_id,year,event_name,driver_code,driver_number,stream_name,sample_count,min_delta_ms,median_delta_ms,p90_delta_ms,p99_delta_ms,max_delta_ms,estimated_frequency_hz,duplicate_count,out_of_order_count,warning_flags
2025-australian-grand-prix-r,2025,Australian Grand Prix,OCO,31,raw_location_telemetry,23477,20.0,240.0,380.0,520.0,1380.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,PIA,81,raw_car_telemetry,22899,158.0,240.0,399.0,520.0,1359.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,PIA,81,raw_location_telemetry,23427,20.0,240.0,380.0,520.0,1380.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,RUS,63,raw_car_telemetry,22855,158.0,240.0,399.0,520.0,1359.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,RUS,63,raw_location_telemetry,23381,20.0,240.0,380.0,520.0,1380.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,SAI,55,raw_car_telemetry,442,159.0,240.0,360.0,711.4000000000027,1080.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,SAI,55,raw_location_telemetry,418,20.0,260.0,400.0,793.599999999999,1120.0,3.8461538461538463,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,STR,18,raw_car_telemetry,22889,158.0,240.0,399.0,520.0,1359.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,STR,18,raw_location_telemetry,23415,20.0,240.0,380.0,520.0,1380.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,TSU,22,raw_car_telemetry,22938,158.0,240.0,399.0,520.0,1359.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,TSU,22,raw_location_telemetry,23464,20.0,240.0,380.0,520.0,1380.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,VER,1,raw_car_telemetry,22829,158.0,240.0,399.0,520.0,1359.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-australian-grand-prix-r,2025,Australian Grand Prix,VER,1,raw_location_telemetry,23355,20.0,240.0,380.0,520.0,1380.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
