session_id,year,event_name,rotation_degrees,circuit_marker_id,marker_type,marker_number,marker_letter,x,y,angle_degrees,distance_m,position_xy_samples,position_driver_count,x_min,x_max,y_min,y_max,x_p01,x_p99,y_p01,y_p99,has_marker,minmax_pad_x,minmax_pad_y,core_pad_x,core_pad_y,outside_minmax_bounds,outside_core_bounds,marker_coordinate_issue
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2064,marshal_light,4,,-5157.8349609375,4075.304443359375,-135.79111207755284,714.883776602337,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2065,marshal_light,5,,-6885.134765625,6285.9755859375,-146.39266491868455,998.4492567158393,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2066,marshal_light,6,,-6320.72314453125,7395.81689453125,-73.56660154315365,1174.9663683307165,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2067,marshal_light,7,,-5947.0,9210.0947265625,-177.9055047150245,1385.3560177531126,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2068,marshal_light,8,,-4926.84912109375,10590.990234375,122.44510880466925,1572.8846821711568,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2069,marshal_light,9,,-3474.6982421875,11290.357421875,113.41576714538542,1730.8311416234474,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2070,marshal_light,10,,-504.1057434082031,11226.0283203125,74.13109139340901,2039.6333912480795,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2071,marshal_light,11,,1149.6241455078125,8755.1533203125,7.0536583611363675,2362.975663497161,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2072,marshal_light,12,,494.33282470703125,5779.2412109375,154.5104108579042,2682.881513453155,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2073,marshal_light,13,,406.4137268066406,3616.448486328125,-166.1161100793303,2896.019110941506,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2074,marshal_light,14,,1989.657958984375,1349.3016357421875,-129.50692609692845,3174.007928695763,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2075,marshal_light,15,,3527.99462890625,848.884521484375,91.52712648224441,3335.3936007713173,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2076,marshal_light,16,,6420.01708984375,-1352.264892578125,29.39932846914089,3712.7161299550544,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2077,marshal_light,17,,7195.36376953125,-3446.3310546875,18.13010584695924,3941.8525782448237,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2078,marshal_light,18,,6079.7451171875,-5367.66845703125,-74.96859403901651,4258.499149373286,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2079,marshal_light,19,,3962.527587890625,-4043.96533203125,27.30910753476001,4541.823475157283,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
2025-australian-grand-prix-r,2025,Australian Grand Prix,44.0,2080,marshal_light,20,,2935.0,-4245.71728515625,-43.69157763695759,4701.37001759449,380930,20,-7210.0,7503.0,-5563.0,11853.0,-7192.0,7487.0,-5530.0,11809.0,True,1177.04,1393.28,733.95,866.95,False,False,none
