import_round,session_id,year,event_name,circuit_name,country,session_type,session_start_utc,session_end_utc,source,imported_at_utc,driver_count,missing_driver_number,missing_full_name,missing_team_name,lap_rows,lap_driver_count,missing_lap_time_rows,missing_sector_rows,inaccurate_lap_rows,deleted_lap_rows,pit_lap_rows,max_lap_number,telemetry_samples,telemetry_driver_count,telemetry_start_utc,telemetry_end_utc,telemetry_session_time_nulls,telemetry_lap_time_nulls,telemetry_speed_nulls,telemetry_rpm_nulls,position_samples,position_driver_count,position_start_utc,position_end_utc,position_xy_nulls,position_track_status_values,aligned_samples,aligned_driver_count,aligned_start_utc,aligned_end_utc,aligned_non_ok_rows,aligned_interpolated_car_rows,aligned_interpolated_location_rows,weather_samples,weather_start_ms,weather_end_ms,weather_air_temp_nulls,weather_track_temp_nulls,weather_humidity_nulls,weather_pressure_nulls,weather_rainfall_nulls,weather_rainfall_true_samples,min_air_temp_c,max_air_temp_c,min_track_temp_c,max_track_temp_c,min_pressure_mbar,max_pressure_mbar,weather_max_gap_ms,track_status_events,track_status_code_count,yellow_status_events,safety_car_status_events,vsc_status_events,red_flag_status_events,session_status_events,session_status_value_count,race_control_messages,race_control_missing_session_time,race_control_missing_message_time,race_control_missing_category,race_control_driver_scoped,race_control_lap_scoped,race_control_category_count,circuit_metadata_rows,circuit_rotation_nulls,circuit_markers,corner_markers,marshal_light_markers,marshal_sector_markers,marker_distance_nulls,telemetry_null_pct,position_xy_null_pct,aligned_non_ok_pct,race_control_untimed_pct,weather_null_pct,session_metadata_incomplete,session_end_missing,driver_metadata_sparse,lap_metadata_incomplete,raw_telemetry_coverage_issue,raw_position_coverage_issue,aligned_replay_quality_issue,ingestion_diagnostic_warning,weather_surface_issue,status_timeline_sparse,race_control_sparse_or_untimed,circuit_annotation_issue,surface_issue_count,has_surface_issue
11,2025-austrian-grand-prix-r,2025,Austrian Grand Prix,Spielberg,Austria,R,2025-06-29 13:00:00+00:00,,fastf1,2026-06-07 07:49:43.002088+00:00,20,0,0,0,1126,19,2,19,116,11,65,70,307177,19,2025-06-29 13:18:01.361000+00:00,2025-06-29 14:42:56.702000+00:00,0,0,0,0,314417,19,2025-06-29 13:18:01.155000+00:00,2025-06-29 14:42:56.645000+00:00,0,1,821801,19,2025-06-29 13:18:01.400000+00:00,2025-06-29 14:42:56.600000+00:00,22295,818633,821801,161,28548,9629045,0,0,0,0,0,0,29.1,31.3,45.7,51.9,942.5,944.2,60081,14,3,6,1,0,0,5,5,117,14,0,0,44,117,4,42,0,42,10,16,16,0,0.0,0.0,2.712943887875532,11.965811965811966,0.0,False,True,False,True,False,False,False,True,False,False,True,False,3,True
12,2025-british-grand-prix-r,2025,British Grand Prix,Silverstone,United Kingdom,R,2025-07-06 14:00:00+00:00,,fastf1,2026-06-15 20:00:54.523576+00:00,20,0,0,0,825,19,91,21,329,13,76,52,350061,19,2025-07-06 14:03:49.813000+00:00,2025-07-06 15:42:29.954000+00:00,0,0,0,0,359209,19,2025-07-06 14:03:49.726000+00:00,2025-07-06 15:42:29.968000+00:00,0,1,943107,19,2025-07-06 14:03:49.900000+00:00,2025-07-06 15:42:29.900000+00:00,23768,939469,943107,155,19723,9260295,0,0,0,0,0,28,16.0,19.6,20.0,29.6,988.4,989.1,60220,33,5,13,2,4,0,5,5,158,60,0,0,1,158,4,51,0,51,18,17,16,0,0.0,0.0,2.5201806369796853,37.9746835443038,0.0,False,True,False,True,False,False,False,True,False,False,True,False,3,True
13,2025-belgian-grand-prix-r,2025,Belgian Grand Prix,Spa-Francorchamps,Belgium,R,2025-07-27 13:00:00+00:00,,fastf1,2026-06-07 07:49:23.532567+00:00,20,0,0,0,879,20,60,20,132,13,72,44,385605,20,2025-07-27 14:20:00.263000+00:00,2025-07-27 15:46:58.040000+00:00,0,0,0,0,394553,20,2025-07-27 14:20:00.264000+00:00,2025-07-27 15:46:57.963000+00:00,0,1,1035545,20,2025-07-27 14:20:00.300000+00:00,2025-07-27 15:46:57.900000+00:00,24193,1031299,1035545,223,36172,13357618,0,0,0,0,0,102,14.5,19.0,20.7,27.6,964.6,965.4,60200,14,4,5,1,0,1,5,5,116,31,0,0,5,116,3,61,0,61,19,21,21,0,0.0,0.0,2.3362577193651655,26.72413793103448,0.0,False,True,False,True,False,False,False,True,False,False,True,False,3,True
14,2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,Budapest,Hungary,R,2025-08-03 13:00:00+00:00,,fastf1,2026-06-07 07:54:01.156190+00:00,20,0,0,0,1368,20,0,20,79,15,60,70,422697,20,2025-08-03 13:03:06.190000+00:00,2025-08-03 14:39:39.530000+00:00,0,0,0,0,431568,20,2025-08-03 13:03:06.169000+00:00,2025-08-03 14:39:40.150000+00:00,0,1,1134521,20,2025-08-03 13:03:06.200000+00:00,2025-08-03 14:39:39.500000+00:00,27436,1130041,1134521,157,15360,9375778,0,0,0,0,0,0,21.6,22.5,30.6,38.0,986.9,987.3,60064,12,2,6,0,0,0,5,5,96,17,0,0,41,96,3,54,0,54,16,19,19,0,0.0,0.0,2.418289304472989,17.708333333333336,0.0,False,True,False,False,False,False,False,True,False,False,True,False,2,True
15,2025-dutch-grand-prix-r,2025,Dutch Grand Prix,Zandvoort,Netherlands,R,2025-08-31 13:00:00+00:00,,fastf1,2026-06-07 07:51:27.099319+00:00,20,0,0,0,1364,20,2,22,323,9,80,72,411922,20,2025-08-31 13:03:21.289000+00:00,2025-08-31 14:42:14.591000+00:00,0,0,0,0,426422,20,2025-08-31 13:03:21.079000+00:00,2025-08-31 14:42:14.545000+00:00,0,1,1119107,20,2025-08-31 13:03:21.300000+00:00,2025-08-31 14:42:14.500000+00:00,31300,1115649,1107132,159,58063,9538917,0,0,0,0,0,0,19.4,20.7,25.6,29.3,1005.6,1006.6,60060,20,5,7,3,2,0,5,5,108,19,0,0,7,108,4,52,0,52,14,19,19,0,0.0,0.0,2.796872863810163,17.59259259259259,0.0,False,True,False,True,False,False,False,True,False,False,True,False,3,True
16,2025-italian-grand-prix-r,2025,Italian Grand Prix,Monza,Italy,R,2025-09-07 13:00:00+00:00,,fastf1,2026-06-07 07:51:04.107369+00:00,20,0,0,0,974,19,0,19,58,21,41,53,305174,19,2025-09-07 13:03:34.852000+00:00,2025-09-07 14:18:21.509000+00:00,0,0,0,0,312764,19,2025-09-07 13:03:34.934000+00:00,2025-09-07 14:18:21.696000+00:00,0,1,820417,19,2025-09-07 13:03:35+00:00,2025-09-07 14:18:21.500000+00:00,15478,816635,820417,144,18360,8598890,0,0,0,0,0,0,25.9,27.4,39.8,45.9,996.1,997.5,60047,6,2,3,0,0,0,5,5,71,20,0,0,5,71,3,45,0,45,11,17,17,0,0.0,0.0,1.8866015696895604,28.169014084507044,0.0,False,True,False,False,False,False,False,True,False,False,True,False,2,True
17,2025-azerbaijan-grand-prix-r,2025,Azerbaijan Grand Prix,Baku,Azerbaijan,R,2025-09-21 11:00:00+00:00,,fastf1,2026-06-07 07:51:46.580866+00:00,20,0,0,0,968,20,58,20,113,1,41,51,401811,20,2025-09-21 11:03:53.630000+00:00,2025-09-21 12:38:56.392000+00:00,0,0,0,0,403191,20,2025-09-21 11:03:53.733000+00:00,2025-09-21 12:38:56.411000+00:00,0,1,1074586,20,2025-09-21 11:03:53.800000+00:00,2025-09-21 12:38:56.300000+00:00,16389,1071793,1074586,156,23331,9323805,0,0,0,0,0,0,20.3,21.1,24.0,29.0,1019.8,1021.9,60072,20,3,9,1,0,0,5,5,71,27,0,0,2,71,4,62,0,62,20,21,21,0,0.0,0.0,1.5251454978940726,38.028169014084504,0.0,False,True,False,True,False,False,False,True,False,False,True,False,3,True
18,2025-singapore-grand-prix-r,2025,Singapore Grand Prix,Marina Bay,Singapore,R,2025-10-05 12:00:00+00:00,,fastf1,2026-06-07 07:54:41.347299+00:00,20,0,0,0,1229,20,0,20,66,19,48,62,453072,20,2025-10-05 12:03:32.314000+00:00,2025-10-05 13:45:28.140000+00:00,0,0,0,0,463509,20,2025-10-05 12:03:32.234000+00:00,2025-10-05 13:45:28.287000+00:00,0,1,1211554,20,2025-10-05 12:03:32.400000+00:00,2025-10-05 13:45:28.100000+00:00,17563,1205808,1211554,161,38510,9639692,0,0,0,0,0,6,28.5,29.5,32.5,38.8,1009.8,1011.5,60040,14,2,7,0,0,0,5,5,119,18,0,0,55,119,3,51,0,51,19,16,16,0,0.0,0.0,1.4496258524176389,15.126050420168067,0.0,False,True,False,False,False,False,False,True,False,False,True,False,2,True
19,2025-united-states-grand-prix-r,2025,United States Grand Prix,Austin,United States,R,2025-10-19 19:00:00+00:00,,fastf1,2026-06-07 07:52:43.055161+00:00,20,0,0,0,1067,20,1,21,104,31,42,56,400592,20,2025-10-19 19:03:40.265000+00:00,2025-10-19 20:39:12.845000+00:00,0,0,0,0,417891,20,2025-10-19 19:03:40.181000+00:00,2025-10-19 20:39:13.023000+00:00,0,1,1086678,20,2025-10-19 19:03:40.300000+00:00,2025-10-19 20:39:12.800000+00:00,18645,1082764,1085403,154,34333,9214705,0,0,0,0,0,0,26.4,29.3,42.1,46.3,1000.4,1002.1,60041,19,4,8,0,2,0,5,5,79,4,0,0,11,79,4,60,0,60,20,20,20,0,0.0,0.0,1.715779651377869,5.063291139240507,0.0,False,True,False,True,False,False,False,True,False,False,False,False,2,True
20,2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,Mexico City,Mexico,R,2025-10-26 20:00:00+00:00,,fastf1,2026-06-07 07:53:35.163348+00:00,20,0,0,0,1263,20,1,21,110,9,57,71,393063,20,2025-10-26 20:03:16.485000+00:00,2025-10-26 21:42:33.586000+00:00,0,0,0,0,401381,20,2025-10-26 20:03:16.599000+00:00,2025-10-26 21:42:33.681000+00:00,0,1,1059385,20,2025-10-26 20:03:16.600000+00:00,2025-10-26 21:42:33.500000+00:00,20890,1056138,1017049,162,18513,9678846,0,0,0,0,0,0,25.4,27.1,45.7,53.2,780.3,781.8,60051,9,4,3,0,2,0,5,5,78,4,0,0,16,78,4,49,0,49,17,16,16,0,0.0,0.0,1.9718987903359024,5.128205128205128,0.0,False,True,False,True,False,False,False,True,False,False,False,False,2,True
21,2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,São Paulo,Brazil,R,2025-11-09 17:00:00+00:00,,fastf1,2026-06-07 07:54:22.792148+00:00,20,0,0,0,1251,20,2,21,202,1,77,71,369890,20,2025-11-09 17:03:14.324000+00:00,2025-11-09 18:36:24.944000+00:00,0,0,0,0,372745,20,2025-11-09 17:03:14.142000+00:00,2025-11-09 18:36:25.023000+00:00,0,1,983789,20,2025-11-09 17:03:14.400000+00:00,2025-11-09 18:36:24.900000+00:00,15333,980184,983789,152,61035,9121811,0,0,0,0,0,0,16.6,18.0,29.3,32.8,929.3,930.0,60127,10,5,3,1,2,0,5,5,56,11,0,0,2,56,4,47,0,47,15,16,16,0,0.0,0.0,1.5585659119994226,19.642857142857142,0.0,False,True,False,True,False,False,False,True,False,False,True,False,3,True
22,2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,Las Vegas,United States,R,2025-11-23 04:00:00+00:00,,fastf1,2026-06-07 07:54:51.185688+00:00,20,0,0,0,886,20,2,20,126,0,45,50,328580,20,2025-11-23 04:04:08.830000+00:00,2025-11-23 05:26:48.687000+00:00,0,0,0,0,334193,20,2025-11-23 04:04:08.588000+00:00,2025-11-23 05:26:48.868000+00:00,0,1,874472,20,2025-11-23 04:04:08.900000+00:00,2025-11-23 05:26:48.600000+00:00,14512,870656,874472,141,6103,8406722,0,0,0,0,0,0,16.3,17.2,16.7,29.5,941.7,942.2,60140,16,4,5,0,4,0,5,5,61,11,0,0,4,61,4,59,0,59,17,21,21,0,0.0,0.0,1.6595156848932842,18.0327868852459,0.0,False,True,False,True,False,False,False,True,False,False,True,False,3,True
23,2025-qatar-grand-prix-r,2025,Qatar Grand Prix,Lusail,Qatar,R,2025-11-30 16:00:00+00:00,,fastf1,2026-06-07 07:55:09.868479+00:00,20,0,0,0,1067,20,3,21,145,18,84,57,355718,20,2025-11-30 16:03:27.252000+00:00,2025-11-30 17:29:30.391000+00:00,0,0,0,0,365582,20,2025-11-30 16:03:27.201000+00:00,2025-11-30 17:29:30.321000+00:00,0,1,964250,20,2025-11-30 16:03:27.300000+00:00,2025-11-30 17:29:30.300000+00:00,17152,960412,964231,149,55358,8936070,0,0,0,0,0,0,21.6,23.7,25.2,29.8,1015.5,1016.4,60062,4,3,1,1,0,0,5,5,79,5,0,0,11,79,4,56,0,56,16,20,20,0,0.0,0.0,1.7787918071039668,6.329113924050633,0.0,False,True,False,True,False,False,False,True,False,False,False,False,2,True
24,2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,Yas Island,United Arab Emirates,R,2025-12-07 13:00:00+00:00,,fastf1,2026-06-07 07:55:50.814950+00:00,20,0,0,0,1156,20,0,20,74,39,54,58,389065,20,2025-12-07 13:03:28.019000+00:00,2025-12-07 14:31:00.277000+00:00,0,0,0,0,394965,20,2025-12-07 13:03:27.635000+00:00,2025-12-07 14:31:00.235000+00:00,0,1,1043228,20,2025-12-07 13:03:28.100000+00:00,2025-12-07 14:31:00.200000+00:00,19164,1037668,1043228,154,60108,9240886,0,0,0,0,0,0,25.9,27.5,28.7,34.6,1016.2,1017.4,60224,7,2,3,0,0,0,5,5,107,8,0,0,16,107,3,56,0,56,16,20,20,0,0.0,0.0,1.8369905715720822,7.476635514018691,0.0,False,True,False,False,False,False,False,True,False,False,False,False,1,True
