session_id,year,event_name,driver_code,aligned_rows,non_ok_rows,car_gap_rows,car_sample_old_rows,location_gap_rows,location_sample_old_rows,other_unknown_rows,car_related_rows,location_related_rows,non_ok_pct
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,RUS,50898,1373,643,115,526,89,0,758,622,2.6975519666784553
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,BEA,50525,1372,643,115,526,88,0,758,621,2.7154873824839187
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,COL,50652,1372,643,115,526,88,0,758,621,2.7086788280818133
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,GAS,50607,1372,643,115,526,88,0,758,621,2.711087398976426
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,HAD,50556,1372,643,115,526,88,0,758,621,2.713822296067727
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,HAM,50565,1372,643,115,526,88,0,758,621,2.713339266290913
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,LEC,50472,1372,643,115,526,88,0,758,621,2.7183388809637026
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,STR,50620,1372,643,115,526,88,0,758,621,2.7103911497431845
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,NOR,57213,1369,623,135,508,103,0,758,613,2.392812822260675
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,PIA,57220,1369,623,135,508,103,0,758,613,2.3925200978678784
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,ALO,50290,1360,643,114,515,88,0,757,610,2.704314973155697
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,BOR,50296,1360,643,114,515,88,0,757,610,2.7039923651980278
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,HUL,50352,1360,643,114,515,88,0,757,610,2.7009850651414045
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,NOR,50277,1360,643,114,515,88,0,757,610,2.705014221214472
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,OCO,50375,1360,643,114,515,88,0,757,610,2.699751861042184
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,PIA,50302,1360,643,114,515,88,0,757,610,2.7036698342014236
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,TSU,50304,1360,643,114,515,88,0,757,610,2.703562340966921
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,BOR,61022,1240,767,172,256,45,0,939,807,2.0320540133066762
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,HAD,60989,1240,767,172,256,45,0,939,807,2.033153519487121
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,HUL,61054,1240,767,172,256,45,0,939,807,2.0309889605922624
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,LAW,61005,1240,767,172,256,45,0,939,807,2.0326202770264734
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,OCO,60999,1240,767,172,256,45,0,939,807,2.0328202101673796
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,STR,61043,1240,767,172,256,45,0,939,807,2.031354946513114
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,TSU,61058,1240,767,172,256,45,0,939,807,2.0308559074977888
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,COL,52177,1239,480,124,521,114,0,604,649,2.374609502271116
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,BEA,60886,1239,767,171,256,45,0,938,807,2.034950563347896
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,COL,60909,1239,767,171,256,45,0,938,807,2.0341821405703593
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,HAM,60852,1239,767,171,256,45,0,938,807,2.036087556694932
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,RUS,60677,1239,767,171,256,45,0,938,807,2.0419598859534918
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,ALO,52104,1229,480,124,511,114,0,604,639,2.3587440503608166
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,ANT,52092,1229,480,124,511,114,0,604,639,2.3592874145742146
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,OCO,52086,1229,480,124,511,114,0,604,639,2.359559190569443
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,SAI,52146,1229,480,124,511,114,0,604,639,2.3568442450044107
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,ALB,60459,1227,755,171,256,45,0,926,805,2.0294745199225925
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,ANT,60422,1227,755,171,256,45,0,926,805,2.030717288404886
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,LEC,60371,1227,755,171,256,45,0,926,805,2.0324327905782575
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,NOR,60339,1227,755,171,256,45,0,926,805,2.0335106647441954
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,PIA,60373,1227,755,171,256,45,0,926,805,2.0323654613817435
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,SAI,60491,1227,755,171,256,45,0,926,805,2.028400919144997
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,VER,60545,1227,755,171,256,45,0,926,805,2.026591791229664
