session_id,year,event_name,quality_flag,rows
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,CAR_GAP_TOO_LARGE,12300
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,LOCATION_GAP_TOO_LARGE,10387
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,CAR_SAMPLE_TOO_OLD,6965
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,LOCATION_SAMPLE_TOO_OLD,5449
2025-italian-grand-prix-r,2025,Italian Grand Prix,OK,804939
2025-italian-grand-prix-r,2025,Italian Grand Prix,CAR_GAP_TOO_LARGE,9731
2025-italian-grand-prix-r,2025,Italian Grand Prix,LOCATION_GAP_TOO_LARGE,9269
2025-italian-grand-prix-r,2025,Italian Grand Prix,CAR_SAMPLE_TOO_OLD,5124
2025-italian-grand-prix-r,2025,Italian Grand Prix,LOCATION_SAMPLE_TOO_OLD,4288
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,OK,978548
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,CAR_GAP_TOO_LARGE,9843
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,LOCATION_GAP_TOO_LARGE,9187
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,CAR_SAMPLE_TOO_OLD,5398
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,LOCATION_SAMPLE_TOO_OLD,5130
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,OK,859960
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,CAR_GAP_TOO_LARGE,9140
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,LOCATION_GAP_TOO_LARGE,7790
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,CAR_SAMPLE_TOO_OLD,4887
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,LOCATION_SAMPLE_TOO_OLD,4729
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,OK,1038495
