session_id,year,event_name,surface,surface_key,start_ms,end_ms,span_ms,derived_session_duration_ms,active_replay_start_ms,active_replay_end_ms,active_replay_duration_ms,coverage_ratio,active_coverage_ratio,starts_after_active_ms,ends_before_active_end_ms
2025-miami-grand-prix-r,2025,Miami Grand Prix,raw telemetry,telemetry,3435438,8857537,5422099,8957990,3435459,8857359,5421900,0.6052807605277524,1.0,-21,-178
2025-miami-grand-prix-r,2025,Miami Grand Prix,raw position,position,222298,5644264,5421966,8957990,3435459,8857359,5421900,0.6052659134471015,0.4073857872701451,-3213161,3213095
2025-miami-grand-prix-r,2025,Miami Grand Prix,aligned replay,aligned,3435459,8857359,5421900,8957990,3435459,8857359,5421900,0.6052585457228686,1.0,0,0
2025-miami-grand-prix-r,2025,Miami Grand Prix,weather,weather,17964,8898989,8881025,8957990,3435459,8857359,5421900,0.9914082288549105,1.0,-3417495,-41630
2025-miami-grand-prix-r,2025,Miami Grand Prix,track status,track_status,0,6616929,6616929,8957990,3435459,8857359,5421900,0.7386622445436979,0.5867813865987938,-3435459,2240430
2025-miami-grand-prix-r,2025,Miami Grand Prix,session status,session_status,10292,8957990,8947698,8957990,3435459,8857359,5421900,0.9988510815484277,1.0,-3425167,-100631
2025-miami-grand-prix-r,2025,Miami Grand Prix,race control,race_control,222000,5690000,5468000,8957990,3435459,8857359,5421900,0.61040478946728,0.4158212065880964,-3213459,3167359
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,raw telemetry,telemetry,3359317,8891096,5531779,9001103,3359385,8891085,5531700,0.6145667925364258,1.0,-68,-11
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,raw position,position,213300,5745002,5531702,9001103,3359385,8891085,5531700,0.6145582380292727,0.4312629029050744,-3146085,3146083
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,aligned replay,aligned,3359385,8891085,5531700,9001103,3359385,8891085,5531700,0.6145580158342816,1.0,0,0
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,weather,weather,34663,8975262,8940599,9001103,3359385,8891085,5531700,0.9932781571325203,1.0,-3324722,-84177
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,track status,track_status,0,8048275,8048275,9001103,3359385,8891085,5531700,0.8941431955616995,0.8476399660140644,-3359385,842810
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,session status,session_status,7013,9001103,8994090,9001103,3359385,8891085,5531700,0.9992208732640877,1.0,-3352372,-110018
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,race control,race_control,213000,5811000,5598000,9001103,3359385,8891085,5531700,0.6219237797856552,0.4431937740658387,-3146385,3080085
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,raw telemetry,telemetry,3368866,9474649,6105783,9560014,3368914,9474614,6105700,0.6386792948211164,1.0,-48,-35
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,raw position,position,189235,6295058,6105823,9560014,3368914,9474614,6105700,0.6386834789154074,0.47924791588188087,-3179679,3179556
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,aligned replay,aligned,3368914,9474614,6105700,9560014,3368914,9474614,6105700,0.6386706128254623,1.0,0,0
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,weather,weather,18586,9559327,9540741,9560014,3368914,9474614,6105700,0.9979839987682027,1.0,-3350328,-84713
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,track status,track_status,0,6361311,6361311,9560014,3368914,9474614,6105700,0.6654081259713637,0.4900989239563031,-3368914,3113303
